author,score
"Service, Robert W. (Robert William), 1874-1958",3.093860626220703
"Seton, Ernest Thompson, 1860-1946",3.1041699631207464
"Severy, Melvin L. (Melvin Linwood), 1863-",4.165046691894531
"Sewell, Anna, 1820-1878",2.2561809221903477
"Shaw, Bernard, 1856-1950",4.25180093050003
"Shute, Henry A. (Henry Augustus), 1856-1943",4.123020569483439
"Sidney, Margaret, 1844-1924",4.325111139623612
"Sinclair, Upton, 1878-1968",4.4821144192158675
"Smith, Francis Hopkinson, 1838-1915",3.0405555198274037
"Smollett, T. (Tobias), 1721-1771",3.8923295481999713
"Snorri Sturluson, 1179?-1241",1.1769882308112252
"Stead, Robert J. C., 1880-1959",4.2786924261795845
"Stephens, James, 1882-1950",3.021086760929652
"Stephens, James, 1882-1950; Rackham, Arthur, 1867-1939 [Illustrator]",2.6564847763548505
"Stewart, Donald Ogden, 1894-1980; Roth, Herb, 1887-1953 [Illustrator]",3.1516361236572266
"Stratton-Porter, Gene, 1863-1924",3.3761874349279837
"Strindberg, August, 1849-1912; Björkman, Edwin, 1866-1951 [Translator]",3.9170445998509726
"Tacitus, Cornelius, 56-117; Gordon, Thomas, -1750 [Translator]",3.036761692592076
"Tagore, Rabindranath, 1861-1941",1.9922328265208116
"Tarkington, Booth, 1869-1946",3.430705051254808
"Taylor, Bayard, 1825-1878",4.268437901481253
"Thackeray, William Makepeace, 1811-1863",2.652825340662619
"Thanet, Octave, 1850-1934",2.4766697883605957
"Thoma, Ludwig, 1867-1921; Recht, Charles, 1887-1965 [Translator]",3.199146270751953
"Timrod, Henry, 1828-1867",6.178502082824707
"Tolstoi, Ilia Lvovich, graf, 1866-1933; Calderon, George, 1868-1915 [Translator]",1.595583418725242
"Tolstoy, Leo, graf, 1828-1910; Hogarth, C. J., 1869-1942 [Translator]",3.405236426266757
"Tolstoy, Leo, graf, 1828-1910; Maude, Aylmer, 1858-1938 [Translator]; Maude, Louise, 1855-1939 [Translator]",3.567621512846513
